Counter,Date/time,Latitude (deg),Longitude (deg),Altitude (km),B_x,B_y,B_z
121,2022-04-30 16:22:47.695808,42.43012592616533,-118.43731692717071,419.5390598970901,29.916162490844727,7.579511642456055,28.54703140258789
122,2022-04-30 16:23:00.173442,41.98633296285669,-117.58122804928351,419.50084406524826,29.573657989501953,7.727193355560303,28.630226135253906
123,2022-04-30 16:23:12.646220,41.53561428726652,-116.73808497694601,419.46194020439066,29.29175567626953,7.753758430480957,28.513620376586914
124,2022-04-30 16:23:25.065206,41.079993009792005,-115.91092909223885,419.42259702821,29.12592124938965,8.304265975952148,28.40741729736328
125,2022-04-30 16:23:37.549292,40.61529905359406,-115.0916697937852,419.3825299192496,28.980600357055664,8.252013206481934,28.319896697998047
126,2022-04-30 16:23:50.047055,40.143580770522966,-114.28359977570926,419.34199348285154,28.67620277404785,8.063946723937988,28.31719207763672
127,2022-04-30 16:24:02.466241,39.668563952535465,-113.49238982907231,419.3013850951999,28.379098892211914,7.929973602294922,28.00715446472168
128,2022-04-30 16:24:14.957909,39.18466200578995,-112.70819503840839,419.26030717357946,28.070537567138672,7.86117696762085,28.149429321289062
129,2022-04-30 16:24:27.459845,38.69441047559009,-111.93482402372679,419.21905970621395,27.811826705932617,7.108894348144531,27.937156677246094
130,2022-04-30 16:24:39.969024,38.19809666355076,-111.1722680179016,419.17775116721486,27.636890411376953,7.066702842712402,27.84975242614746
131,2022-04-30 16:24:52.486259,37.695853446767565,-110.42027231196703,419.1364783954497,27.449705123901367,7.192412376403809,27.745471954345703
132,2022-04-30 16:25:05.011406,37.187849471894154,-109.67864081663856,419.0953425703204,26.984268188476562,7.313855171203613,27.6871280670166
133,2022-04-30 16:25:17.526239,36.67499372125825,-108.94822050406971,419.0545044848884,26.8137149810791,7.272568702697754,27.356027603149414
134,2022-04-30 16:25:29.976217,36.15973088083632,-108.23187107943629,419.01424016697786,26.41659164428711,7.204043388366699,27.117658615112305
135,2022-04-30 16:25:42.446217,35.63873322984168,-107.52442464396361,418.97437377134753,26.16115379333496,7.21633768081665,26.828304290771484
136,2022-04-30 16:25:54.930674,35.112366890042885,-106.82600943244658,418.9350260656934,25.84668731689453,7.153702259063721,26.63861846923828
137,2022-04-30 16:26:07.376259,34.58304340362412,-106.13935162648136,418.8964642593214,25.694612503051758,7.172132968902588,26.499082565307617
138,2022-04-30 16:26:19.913990,34.0453073604157,-105.4570534657082,418.8583886539961,25.408994674682617,7.324488639831543,26.203996658325195
139,2022-04-30 16:26:32.361840,33.50710759107706,-104.78879732894873,418.82145350616,25.10011863708496,7.268341541290283,25.983070373535156
140,2022-04-30 16:26:44.821463,32.964225785809106,-104.12881213401364,418.785449795236,24.840269088745117,7.295414447784424,25.824127197265625
141,2022-04-30 16:26:57.346229,32.41443314918024,-103.47412760508585,418.75033374581903,24.535099029541016,7.351736545562744,25.889814376831055
142,2022-04-30 16:27:09.795332,31.86404671947782,-102.83187038586868,418.716599315313,24.383203506469727,7.351566791534424,25.760114669799805
143,2022-04-30 16:27:22.246212,31.309803711493018,-102.19774895861542,418.6841260148785,24.06541633605957,7.310078144073486,25.509611129760742
144,2022-04-30 16:27:34.728366,30.750498766155754,-101.57007419720975,418.6529414811258,23.78912353515625,7.113628387451172,25.32732391357422
145,2022-04-30 16:27:47.240388,30.186290215659607,-100.94875964430719,418.6231590062647,23.448272705078125,7.047018051147461,24.913145065307617
146,2022-04-30 16:27:59.755010,29.618511049779485,-100.3349730569962,418.5949484515913,23.04970932006836,6.9081830978393555,24.75042724609375
147,2022-04-30 16:28:12.169288,29.051984886403933,-99.73346288018396,418.5686205258702,22.701374053955078,6.712395191192627,24.469711303710938
148,2022-04-30 16:28:24.666217,28.478479087058833,-99.13513823750402,418.5438803936903,21.748159408569336,6.620830535888672,24.060579299926758
149,2022-04-30 16:28:37.144931,27.90270502794931,-98.5446771961578,418.52103718696486,21.51760482788086,6.641324520111084,23.01008415222168
150,2022-04-30 16:28:49.654822,27.32248486637139,-97.95954946407905,418.5000987060332,21.265039443969727,6.778477191925049,22.813270568847656
151,2022-04-30 16:29:02.138581,26.740577032837717,-97.38223821819535,418.48125597610107,21.18394660949707,6.761775016784668,22.79358673095703
152,2022-04-30 16:29:14.604217,26.15672313656562,-96.81214061662148,418.4645783619071,20.949918746948242,6.694125175476074,22.579410552978516
153,2022-04-30 16:29:27.059607,25.570660093964765,-96.24868058482349,418.45013873896414,20.63237190246582,6.715358257293701,22.420639038085938
154,2022-04-30 16:29:39.555909,24.98006536444963,-95.68937481330501,418.4379757572875,20.254289627075195,6.594454288482666,22.090633392333984
155,2022-04-30 16:29:52.058428,24.38665731890786,-95.13562156185725,418.42822488079526,20.034805297851562,6.583385944366455,21.847339630126953
156,2022-04-30 16:30:04.576043,23.790096962476976,-94.5868538049749,418.4209725869925,19.880125045776367,6.593612194061279,21.555747985839844
157,2022-04-30 16:30:17.033852,23.194055451872664,-94.04614299031334,418.4163337536724,19.57162857055664,6.532020092010498,21.145357131958008
158,2022-04-30 16:30:29.512084,22.59478980861774,-93.50980056373164,418.41434935907995,19.379728317260742,6.421522617340088,21.086088180541992
159,2022-04-30 16:30:42.038056,21.991054485549487,-92.97651818893578,418.4151186933359,19.330596923828125,6.427432060241699,20.745861053466797
160,2022-04-30 16:30:54.561022,21.38536478561234,-92.44830692848632,418.41873354393243,19.259511947631836,6.425710201263428,20.389738082885742
161,2022-04-30 16:31:07.086657,20.77752654618041,-91.92475383214747,418.4252736226893,18.966224670410156,6.481642723083496,19.908891677856445
162,2022-04-30 16:31:19.552046,20.170685741037744,-91.40828773948888,418.4347613335031,18.694087982177734,6.528857231140137,19.58379554748535
163,2022-04-30 16:31:32.028162,19.5614732333685,-90.89577372544885,418.44730602523686,18.538143157958984,6.460673809051514,19.321365356445312
164,2022-04-30 16:31:44.546246,18.948426502995833,-90.38579218527299,418.4630296351425,18.275753021240234,6.371715068817139,18.864715576171875
165,2022-04-30 16:31:57.040334,18.33484463665956,-89.88087763309127,418.48192490224903,18.132680892944336,6.19832706451416,18.667484283447266
166,2022-04-30 16:32:09.558419,17.71844338940041,-89.3789318124409,418.50413099603725,17.892745971679688,6.35125207901001,18.16459083557129
167,2022-04-30 16:32:21.976219,17.105425810073164,-88.88474646676015,418.52946087810597,17.634052276611328,6.378098964691162,17.8116455078125
168,2022-04-30 16:32:34.496227,16.485863831980595,-88.39010996343953,418.55838965404473,17.334476470947266,6.459960460662842,17.655078887939453
169,2022-04-30 16:32:46.986237,15.866353266646769,-87.90012447720926,418.59069990649783,17.135908126831055,6.586910724639893,17.39590835571289
170,2022-04-30 16:32:59.446365,15.246963951254799,-87.4146112815751,418.6264229830778,16.880634307861328,6.517435073852539,17.009178161621094
171,2022-04-30 16:33:11.956233,14.623799369236552,-86.93032819366591,418.6658488457548,16.77899932861328,6.617669582366943,16.459697723388672
